2019-12-05 09:04:56  INFO LoggerFactory:? - using logger: org.apache.dubbo.common.logger.log4j.Log4jLoggerAdapter
2019-12-05 09:06:48  INFO AbstractClient:71 -  [DUBBO] Start NettyClient LAPTOP-QDM8B4OK/192.168.2.1 connect to the server /192.168.2.1:20881, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:06:48  INFO AbstractConfig:421 -  [DUBBO] Refer dubbo service com.study.userserviceapi.service.IUserService from url zookeeper://192.168.104.104:2181/org.apache.dubbo.registry.RegistryService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&monitor=dubbo%3A%2F%2F192.168.104.104%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D225312%26protocol%3Dregistry%26qos-port%3D22240%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D225312%2526qos-port%253D22240%2526register.ip%253D192.168.2.1%2526release%253D2.7.2%2526timestamp%253D1575508005546%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1575508005544&pid=225312&qos-port=22240&register=true&register.ip=192.168.2.1&release=2.7.2&remote.application=user-app&retries=0&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timeout=3000&timestamp=1575508004432, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:06:48  INFO ZookeeperTransporter:58 -  [DUBBO] find valid zookeeper client from the cache for address: zookeeper://192.168.104.104:2181/org.apache.dubbo.metadata.store.MetadataReport, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:06:48  INFO ZookeeperMetadataReport:267 -  [DUBBO] store consumer metadata. Identifier : org.apache.dubbo.metadata.identifier.MetadataIdentifier@b0d79b9; definition: {side=consumer, application=coupon-app, release=2.7.2, methods=findUserById, lazy=false, sticky=false, dubbo=2.0.2, monitor=dubbo%3A%2F%2F192.168.104.104%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D225312%26protocol%3Dregistry%26qos-port%3D22240%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D225312%2526qos-port%253D22240%2526register.ip%253D192.168.2.1%2526release%253D2.7.2%2526timestamp%253D1575508005546%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1575508005544, interface=com.study.userserviceapi.service.IUserService, qos-port=22240, revision=0.0.1-SNAPSHOT}, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:07:50  INFO ZookeeperRegistry:280 -  [DUBBO] Register: consumer://192.168.2.1/org.apache.dubbo.monitor.MonitorService?application=coupon-app&category=consumers&check=false&dubbo=2.0.2&interface=org.apache.dubbo.monitor.MonitorService&pid=225312&qos-port=22240&release=2.7.2&timestamp=1575508005546, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:07:50  INFO ZookeeperRegistry:305 -  [DUBBO] Subscribe: consumer://192.168.2.1/org.apache.dubbo.monitor.MonitorService?application=coupon-app&category=providers,configurators,routers&dubbo=2.0.2&interface=org.apache.dubbo.monitor.MonitorService&pid=225312&qos-port=22240&release=2.7.2&timestamp=1575508005546, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:07:50  INFO ZookeeperRegistry:399 -  [DUBBO] Notify urls for subscribe url consumer://192.168.2.1/org.apache.dubbo.monitor.MonitorService?application=coupon-app&category=providers,configurators,routers&dubbo=2.0.2&interface=org.apache.dubbo.monitor.MonitorService&pid=225312&qos-port=22240&release=2.7.2&timestamp=1575508005546, urls: [empty://192.168.2.1/org.apache.dubbo.monitor.MonitorService?application=coupon-app&category=providers&dubbo=2.0.2&interface=org.apache.dubbo.monitor.MonitorService&pid=225312&qos-port=22240&release=2.7.2&timestamp=1575508005546, empty://192.168.2.1/org.apache.dubbo.monitor.MonitorService?application=coupon-app&category=configurators&dubbo=2.0.2&interface=org.apache.dubbo.monitor.MonitorService&pid=225312&qos-port=22240&release=2.7.2&timestamp=1575508005546, empty://192.168.2.1/org.apache.dubbo.monitor.MonitorService?application=coupon-app&category=routers&dubbo=2.0.2&interface=org.apache.dubbo.monitor.MonitorService&pid=225312&qos-port=22240&release=2.7.2&timestamp=1575508005546], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:07:50  INFO ZookeeperRegistry:280 -  [DUBBO] Register: consumer://192.168.2.1/org.apache.dubbo.monitor.MonitorService?application=user-app&category=consumers&check=false&dubbo=2.0.2&interface=org.apache.dubbo.monitor.MonitorService&pid=189188&qos-port=22225&release=2.7.2&timestamp=1575507900425, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:07:50  INFO ZookeeperRegistry:305 -  [DUBBO] Subscribe: consumer://192.168.2.1/org.apache.dubbo.monitor.MonitorService?application=user-app&category=providers,configurators,routers&dubbo=2.0.2&interface=org.apache.dubbo.monitor.MonitorService&pid=189188&qos-port=22225&release=2.7.2&timestamp=1575507900425, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:07:50  INFO ZookeeperRegistry:399 -  [DUBBO] Notify urls for subscribe url consumer://192.168.2.1/org.apache.dubbo.monitor.MonitorService?application=user-app&category=providers,configurators,routers&dubbo=2.0.2&interface=org.apache.dubbo.monitor.MonitorService&pid=189188&qos-port=22225&release=2.7.2&timestamp=1575507900425, urls: [empty://192.168.2.1/org.apache.dubbo.monitor.MonitorService?application=user-app&category=providers&dubbo=2.0.2&interface=org.apache.dubbo.monitor.MonitorService&pid=189188&qos-port=22225&release=2.7.2&timestamp=1575507900425, empty://192.168.2.1/org.apache.dubbo.monitor.MonitorService?application=user-app&category=configurators&dubbo=2.0.2&interface=org.apache.dubbo.monitor.MonitorService&pid=189188&qos-port=22225&release=2.7.2&timestamp=1575507900425, empty://192.168.2.1/org.apache.dubbo.monitor.MonitorService?application=user-app&category=routers&dubbo=2.0.2&interface=org.apache.dubbo.monitor.MonitorService&pid=189188&qos-port=22225&release=2.7.2&timestamp=1575507900425], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:37:24  WARN AbstractServer:213 -  [DUBBO] All clients has disconnected from /192.168.2.1:20881. You can graceful shutdown now., dubbo version: 2.7.2, current host: 192.168.2.1
